experiment_id,material_id,date,temperature_c,pressure_atm,result_yield_pct,researcher
49986f1a-51ed-48b4-b8df-d93dce2069d7,9f56ee43-bf97-4b34-8c2a-a74e5a93a8c1,2024-07-09,569,5.94,93.88,Kenneth Rodriguez
170c44a4-4756-4675-8073-7c292bd1655a,de56c256-494b-4729-a387-2f99ce76dc80,2024-05-04,963,7.89,50.05,Martha Bell
9b6ead95-3a3c-4f75-9eab-83911b24b865,24d54668-668e-4856-96bf-72f95da30018,2024-05-31,985,7.14,43.48,Richard Ruiz
4a64355f-0244-4168-a440-7ab6f5c086d2,920d4d5c-ec30-43d9-8d7b-bc36d945d6cd,2024-02-14,834,3.65,53.97,Christopher Evans
f7949719-9539-410f-b861-fc89508fcb65,0181d2d7-05f5-4717-a407-a171ec2322c4,2024-12-20,258,8.16,52.62,Nicholas Dillon PhD
db620bb0-a5fc-43d2-a7e6-82939e1de254,9763f271-b05f-45d5-b27f-0cf27ca61db5,2024-11-21,356,5.14,84.94,Erika Nunez
906c470b-502b-4a14-a58a-f465bf9b65d6,7322b4dd-92a9-425a-a809-a73e48eec739,2024-04-04,272,5.2,68.46,Christine Lewis
ec9d48bc-4492-4077-b6bc-affcbb21d979,befceb40-713c-4d8d-bba1-c019bc984974,2024-05-17,84,1.86,76.92,Theresa Elliott
782fd143-9b7b-4f76-842c-02c167aec322,1b1d7299-391e-4387-b0a2-ee9465234743,2024-02-03,517,2.8,51.36,Aaron Garrison
a1b0c426-e41d-4f8b-9c3d-6438464eee7c,9f56ee43-bf97-4b34-8c2a-a74e5a93a8c1,2024-01-11,102,6.19,71.68,Brian Oconnell
b050da2d-6690-40f2-9028-df24b95ff47c,caf300cf-2c4b-43df-a40b-4686218e7f6a,2025-01-01,636,0.91,51.84,Patricia Scott
5072f724-85e1-472e-9ee0-53226cb4a89b,7cbca76f-af85-4f35-b094-d1086091eff9,2025-03-27,334,5.59,67.21,Robert Silva
e9ee4943-5fd9-405d-abe0-148e029dd34c,38f6196b-6897-4e1e-89c5-5dfb88984c04,2024-11-20,551,2.04,68.83,Edwin Garcia
32381fc6-fe1b-484b-8ebc-620cb892b9e4,6004b192-4a19-49b2-84df-412363bfb275,2024-11-27,1187,7.38,64.15,Sarah Keith
a4d06061-00c4-4e43-bd2c-840435f114e3,0d41e9ef-deaa-4683-888f-4e753eb27c9a,2023-12-14,754,3.72,94.21,Tara Anderson
f0127019-06d7-4b25-8944-4b4b34c22bc0,d0aa9e88-11f0-47e7-aacf-7485136e3c09,2025-01-13,525,1.17,96.58,Chris Wallace
839e5599-339c-4eb5-8fe3-f1d125727a0f,87a80bcd-d648-4b19-b4ea-7540747e06fc,2024-05-05,951,2.99,74.31,Anna Evans
1dc5c304-ef1f-442f-a73a-25d03f180ea6,4d3d4ccb-57ca-4172-9169-7e401eb3f6ca,2024-06-08,825,1.55,56.03,Michael Goodwin
1cd601e7-2e32-4838-b0e6-872487703a7c,a2b80a8e-66dc-4c37-a737-1cd23b3f4093,2024-03-10,1111,4.54,65.91,Deborah Hardin
f2430fed-7986-4ae4-94d1-582f17a7b578,6595fd02-a1c5-401b-a906-a52b274f6e3a,2024-04-26,496,0.8,84.72,Lorraine Krause
875425cf-addd-4df8-80a4-7cbad86a4a9f,6bc69fee-d3dd-4fe7-b0ea-c31d5dc66825,2025-04-14,470,1.78,95.31,Corey Brennan
325afcfa-4ae6-405b-b662-8fd9f4e3a16d,82c7b063-4b6e-4ec2-814a-abe3cd8d4d9a,2024-01-01,965,8.04,81.63,Elizabeth Murphy
fe2482e8-0d9f-4912-80d2-42df8a2b6474,9d753ab4-1ef0-468f-80af-d9d611fc064c,2025-01-21,761,5.94,50.94,Frank Hansen
0efe3151-32dc-435b-a837-9a30f4e7faa0,3c056182-771b-4d9f-90b5-cc9b45591977,2025-05-22,113,6.03,40.03,William Allen
dabdbfeb-bb19-40ce-acb6-2aa4a6bfe0ad,38f6196b-6897-4e1e-89c5-5dfb88984c04,2023-12-25,1143,7.5,90.84,Morgan Clark
77e53a6e-2f43-457b-b5e6-b204bf9ee1cc,1fcb1fce-9445-4df1-a2d1-a698f47529c4,2025-04-27,982,2.67,76.71,Kenneth Cunningham
9761c8be-212a-4647-b963-1d420f51df4a,3a67adf7-fa13-4842-8f95-f1ab4e135a61,2024-08-10,669,4.18,46.64,Brooke Lawrence
999c769f-f023-401c-9c69-cb8f1330a31d,6f597354-642c-4067-8842-27c3a57ca8a4,2025-09-26,393,5.71,89.67,Kevin Walker
76f802d1-8bed-485f-abc1-6a986e2905f9,13225e8b-cab0-4c49-84b6-0cf7e31ddde4,2024-09-06,1098,1.1,79.14,Donald Cooper
33eee201-7582-4400-80cb-4e01f589bb49,bf50fdae-c821-4b82-b189-7c012f1ac8b9,2024-03-03,951,0.73,46.8,Benjamin Jackson
0833efc6-a299-4a9a-b5e8-8a71a1c3aec8,edf80f05-1f28-4066-a809-b7b75b1b9cc4,2025-04-29,435,2.06,98.42,Michael Becker
07931287-6bdb-4ee9-99d6-208ec3f1ac3c,0b242c73-4ddc-4f5b-9b5c-11685e9953da,2024-11-07,804,4.4,98.87,Jim Fields
5caec787-bf74-4643-8103-902a31146704,c4ac194e-8f14-4ca7-a6fb-730d4d3807e9,2024-09-10,240,3.54,65.67,Troy Payne
78f50ded-3006-4d58-bb37-b563ef8ff7d8,e715caca-ec08-4dec-bca5-ae5ada55f9e4,2024-01-09,134,4.68,54.24,David Saunders
787f11a8-5a51-4976-8301-0ae489b2931f,63c47179-59c5-4759-b0a5-2bec6030fd24,2024-05-10,524,7.73,92.06,Mark Guerrero
692f43f2-6536-4051-ba8d-4c256b6db77c,fab0d80a-0e2c-4afe-9b74-56811db125d4,2024-04-07,362,8.2,73.48,Michelle Chavez
c479e6a8-6ac9-4275-89d0-39a0e777eeea,fab0d80a-0e2c-4afe-9b74-56811db125d4,2024-02-08,80,5.73,90.77,Cindy Jefferson
7cf92ab1-1feb-4215-9bd0-6898a091cee0,c4ac194e-8f14-4ca7-a6fb-730d4d3807e9,2025-07-14,996,2.44,64.31,Amber Martin
3d80b428-ec7d-42d8-b351-f7a9a88d46d3,0955da28-201b-41b4-91cd-a6a833fdefaf,2025-06-11,829,7.59,93.05,Katherine Rivera
77016a85-b0d1-4bdf-bc82-b808e969b621,1fcb1fce-9445-4df1-a2d1-a698f47529c4,2025-05-18,1071,9.32,49.88,Jeremy Martin
39d25e87-17b8-4da8-b5ba-ffa82a2751a1,56d77c1b-5c58-4e22-beff-ce8ddc913f70,2025-09-02,142,4.71,73.25,Kristen Villarreal
643fe583-398d-46ae-a687-938794de99f3,6a3f856d-814d-4d23-aeb6-f63ffeb5c871,2024-10-23,885,9.87,69.28,Abigail Bryant
ccd3abe3-0cf1-486e-93f1-880f04a602c8,30241021-c104-42d1-b23b-02c64e8ea0ed,2024-02-13,233,5.18,86.51,Caleb Martinez
1fd314ab-2707-44fe-944e-d0eed6367309,7b1812ac-42a5-4d77-90ca-f7ccefc962c1,2024-07-23,211,4.31,48.63,Stacy Payne
284ce5f4-9d4c-4f97-97bb-142accae5a7f,618f6185-619a-4487-a224-02ba0b895933,2024-07-05,895,8.8,86.36,Ronnie Morales
1d082f28-15de-45ee-9424-5a1cc40383fb,52e52d55-08ff-40ec-b20d-c52969db6165,2024-09-16,468,2.67,47.51,Stacy Bennett
da2f659f-e1a7-4f94-a2eb-b7da7448e244,bbb0db23-398f-496f-b78b-7b6cdc09758e,2024-12-14,311,5.4,91.86,Rachel Wilson
60e937bb-4a3c-419d-b818-784bfeae1866,71aad63b-68f7-4d35-b4fe-4a6f7a18c5cd,2024-05-27,1145,6.02,94.19,Jessica Carpenter
5cad0e48-494d-4f22-b5a6-ab24a84ede7f,d8b3bb9b-d509-418a-a310-dd13fff0c1ea,2024-03-10,861,4.1,97.61,Jeffrey Summers
ca846d8a-2069-4e67-8ae6-d96fcf6a058c,bd388a28-c4b2-414a-8a82-6f25a1e0a3f2,2024-04-17,689,6.09,63.93,Mike Martinez DVM
92553d67-e069-47ab-842a-e9b723f9e09e,4221d0cb-6243-4ed6-9d3e-d8964fccadb6,2024-01-06,1015,1.41,58.29,Stephanie Moreno
3d3d6b18-109d-4405-996c-41b84cd9f9d3,8139e41e-641b-4d77-bc77-6828cc1320f7,2023-12-11,298,9.66,90.14,Timothy Walter
42321a4d-5934-4c16-8f01-22bcf6500134,0ba4f46b-2752-4c74-8f3c-1d768eafd51f,2024-09-06,658,1.67,94.2,Billy Powell
f13bee5a-9c47-4bcf-8020-a1d33d705401,fe024ed3-1676-4ad8-81e2-3d9e61d54ea2,2024-07-17,614,7.73,48.93,Robert Bauer
8c3a7aae-b069-4577-88b4-c08955b1dd9d,f62f25f3-f4eb-472f-900c-131bca6080f8,2025-01-04,899,2.44,63.06,Daniel Bailey
63174bce-427d-447f-8f71-523cbf0a59bc,bbb0db23-398f-496f-b78b-7b6cdc09758e,2025-01-26,805,5.72,73.43,Colleen Erickson
7f00a53a-5e90-42cf-a1d1-bed6f4b169f6,5a5b7505-b9f5-4701-a4cf-d748f5e63a1a,2025-04-02,270,2.72,94.26,Douglas Stewart
354487ec-3cc1-4c4d-a411-6c6287be0732,bbb0db23-398f-496f-b78b-7b6cdc09758e,2025-04-24,1011,7.0,49.8,Tony Lewis
1b4e931e-8297-4232-8ce6-b64285e86973,889a2f1c-9bb1-447a-bc54-fcbedd88fcee,2025-07-11,755,5.58,48.05,Rodney Rodriguez
238774a8-4c00-4100-8a81-ff6da1df3c2d,4e515763-f235-43f9-b953-b07eba9fde0e,2024-07-19,1016,8.87,49.9,Jesse Webster
721ff745-1202-455c-802d-83f7e09c1103,e715caca-ec08-4dec-bca5-ae5ada55f9e4,2024-08-28,873,6.78,47.14,Dwayne Ramirez
bfcdc5bb-e442-4ac1-85bb-2b59d0be01e1,b9b12ffd-1926-4c4f-9304-e897b3cf4ed9,2023-12-13,1133,2.83,81.2,Kelly Taylor
98f8ce0f-f81b-4e3d-ad11-c55c3cfbd923,aa342bfe-f3a0-4628-8cb8-d439bb87cf72,2025-06-18,753,1.86,73.61,Valerie Williams
37175a60-e7cb-4985-902f-3443c9b606f9,34983f76-281e-4df5-af43-de04fb1658dc,2023-11-21,709,3.78,56.77,Lynn Sandoval
b1619974-6269-488d-bb44-a083e0bc0ccf,adfc7cf0-ca68-4cec-a5d5-bd725a03b590,2024-06-25,692,0.92,82.79,Jennifer Powell
7f99b90c-6db3-40d8-af73-706c2be9d467,9e4d6719-ce1c-4386-a8f8-9ef57f51d0aa,2025-09-05,1196,2.5,93.68,Paul King
296af9ab-34ef-41dd-b0d3-08cb16bb2559,b8eefdf4-6f29-41ce-9655-34ec143eaf8b,2024-07-27,442,5.77,92.81,Kathryn Gordon
6bb897e4-9807-4a58-bcc1-f7b2f4a6a809,52e52d55-08ff-40ec-b20d-c52969db6165,2024-10-24,906,1.13,61.1,Patricia Moore
c25c3464-a8f7-42bb-b2b4-133e8ed5ffb9,2981d110-9eed-4ac3-9d26-4fe412ccec45,2024-07-25,203,8.61,51.47,Edwin Hayes
58dd07f6-6154-4439-896b-a4446bf46c2a,30241021-c104-42d1-b23b-02c64e8ea0ed,2025-06-30,404,3.41,86.56,Stephen Wheeler
c46a917e-af7f-4d5f-b055-ce1ffa872431,2220c9f2-98cb-49d1-a82e-cb085cb7d302,2025-05-20,932,8.85,84.56,Jennifer Mccoy
84edc800-7554-40bd-8560-ae1226c9be53,cf5afe9a-e132-4ed1-8dc1-cf76e36aa395,2024-10-18,390,3.13,87.42,Shannon Warren
00185b24-b227-4c5e-9bc9-10c4c7242ecf,372fc4f7-67ac-4de4-8aad-5936331d2262,2025-08-19,762,1.91,59.24,Samantha Green
2fc98478-f208-4aa5-9db0-b08fe1171de5,4d3d4ccb-57ca-4172-9169-7e401eb3f6ca,2024-12-24,239,4.41,76.28,Samantha Miller
5b39226c-fbd7-4a99-afc3-85f3720fd521,3be9b0bb-c42d-4201-86a7-df5292d7111e,2024-02-27,66,7.41,45.34,Judy Cole
b4809e5d-2a7a-4e49-8be7-ec67424060cb,f890b97c-8357-4395-a0cf-50572f07a4eb,2024-06-15,1150,1.11,83.25,Nicholas Diaz
c2cf5d53-c6bc-4f83-86dc-a8bb84fedd67,fa2be36b-8c0f-460d-b04d-6228fabba338,2024-02-09,120,5.51,46.97,Amy Adams
a9b7193e-fbfd-4567-b194-057d9da7dc59,3d47b021-6b0b-47db-96c2-4c639a4067eb,2025-10-26,875,4.06,59.1,Wayne Hobbs
a3c539f0-d66b-4384-ae36-8253403f9388,648f66a6-6634-4c11-b67d-1acade73265e,2025-02-06,1038,8.52,92.2,Tonya Bailey
ae05c5d4-37a4-401f-a251-8cf24e0fee55,9d753ab4-1ef0-468f-80af-d9d611fc064c,2025-05-30,41,2.89,77.19,Mary Patterson
1b3b58cc-65cf-4f46-8cce-638f6c18c3ee,c4ac194e-8f14-4ca7-a6fb-730d4d3807e9,2025-06-18,809,7.83,65.29,Charles Chapman
8687612c-1dc7-4002-92b9-74807e580ca5,24d54668-668e-4856-96bf-72f95da30018,2025-01-21,1087,5.57,96.33,Jack Austin
46159297-a70d-44b3-b48f-4428d47369f7,71aad63b-68f7-4d35-b4fe-4a6f7a18c5cd,2025-05-31,865,1.96,88.35,Collin Brooks
a5b915e3-d5ed-4dea-bfed-0e8f5209ce1c,2d430bb2-96cc-457f-ba75-aa77674423e0,2024-06-01,455,2.75,40.12,Michael Mcintosh
9acbc39b-288d-41fa-b2e0-44cbd501047f,a5c77f20-c296-4654-9318-1a7aaf46cba2,2024-08-15,599,9.48,98.28,Kelli Davis
2c6bf126-b876-4dc1-83c1-b78ebaa7a182,9763f271-b05f-45d5-b27f-0cf27ca61db5,2025-06-26,790,4.23,82.53,Susan Carr
b7a4f19a-e1e1-4410-b6f7-84d9a1e11433,befceb40-713c-4d8d-bba1-c019bc984974,2025-03-05,727,7.96,86.88,Jordan Benson
30066262-aabe-4880-99c6-a6ce05007e46,4c5cc13d-c115-4921-90b0-a226b4f88fa2,2025-09-17,332,8.74,59.3,Rebecca Lewis
532f88ff-422c-42ab-aacc-076e82714881,c4720bc9-ff57-474e-88d6-4909743ae880,2024-04-17,482,3.97,91.84,David White
9d885306-22e7-4917-81ba-3efa44c22a35,2bf91e3f-31d2-4704-ab5d-58edbaee3ef7,2024-05-11,189,2.02,63.75,Shelby Miller
93a467e6-f9f6-463a-b452-35b8672a188e,5f048599-9267-49b5-a593-f5d8f9b91169,2024-08-09,374,6.37,75.74,Debra Clay
35f733e4-6530-4f99-844e-db72b91aed1a,74a00d96-a364-4c46-a081-a0822ccc6353,2025-10-06,29,6.65,80.09,Jason Dyer
dd99ca72-2030-45e2-b76d-dce2ef6a0547,0181d2d7-05f5-4717-a407-a171ec2322c4,2024-01-30,842,3.64,78.5,Michelle Mendez
426a22a7-6c8b-4428-8ce9-1b4fa3bd5e67,7322b4dd-92a9-425a-a809-a73e48eec739,2025-06-16,885,2.31,40.58,Charles Lopez
1f197267-c3ea-42a5-9c37-6a4d058d54cd,99bee1c4-2678-4b78-9975-eab7aaa0dfb9,2024-10-22,435,4.02,71.27,James Bailey
640b4c8e-004c-4367-9166-d6a133abcf01,2981d110-9eed-4ac3-9d26-4fe412ccec45,2024-08-10,50,3.1,76.04,Sara Silva
dec03af0-c21d-4e0f-a5e8-2aa84cb1e482,0181d2d7-05f5-4717-a407-a171ec2322c4,2025-06-20,983,2.98,55.05,Tiffany Hanna
ff1417df-c17b-4889-bb91-6651ebea6556,fe959beb-9018-4078-b553-bcdb0e0cd3c1,2024-05-20,93,9.98,92.35,Edward Roberts
6696058d-3955-4909-82ec-5f61f09660d3,fd3a3a5d-5d04-4369-b06a-9afae3b33755,2023-11-14,385,6.55,61.35,Marcus Moon
56ce8e8a-1504-489b-9d3d-6fdf2b3c2979,3572955e-1b9d-4439-874e-e55e32c82c73,2025-09-29,965,1.47,62.98,Richard Holmes
3dad1b19-3c1e-4f9a-a00b-794bdc4cb920,9deb9f90-6453-44ea-96c4-fb11d0c3f7f8,2024-05-02,105,8.14,68.06,Dennis Sutton
a4431f52-1efc-4a1a-818e-743a1f992df3,2be6e85a-fd12-4c1d-acef-eb27a04f8a9a,2025-07-29,114,9.39,40.11,Andrea Johns
061cc2d9-938d-4260-9e00-258c0b6dd8ea,433301c3-9f84-43c5-880b-167abffea475,2024-01-26,1165,8.38,70.37,Bryan Mclaughlin
64ca7691-c2f8-407e-8790-905a8a649590,8978701e-2861-4bcf-829f-a9ed2363a088,2024-02-03,695,2.2,48.69,Jay Abbott
54db3f7f-f822-4bec-a7eb-9698b8dda40c,fa2be36b-8c0f-460d-b04d-6228fabba338,2024-05-01,806,9.65,67.29,Kristy Howard
c3785a2e-a9a9-4a7d-bfc7-4c77589e2d40,433301c3-9f84-43c5-880b-167abffea475,2025-10-07,423,4.09,90.95,David Abbott
e617746c-15a7-42ab-ac66-61c693a8a07c,9a66839e-f317-4efa-9383-f10b3be9e73c,2025-09-07,820,0.55,45.21,Manuel Gilbert
0939805d-e4e3-41e0-a44d-8061e1790c48,962bc601-945c-4925-90d9-88e7d033abe8,2025-02-11,1058,2.75,90.86,Luke Miller
fbdcf123-c9fc-40df-82de-875f7aa8a4f1,27bb9ae1-a8df-411a-b0a8-69cd059014d6,2024-07-03,177,5.87,59.81,Anthony Arellano
854b0cb6-2926-45f0-8e6f-348b81780b42,0e9166da-a343-462b-bab3-1abf70c1f025,2024-10-30,574,1.81,40.02,Mary Smith
542b961b-47b0-4101-96c9-95e343bcbeaa,cb3183a8-5956-4dfa-ae82-bc04ff7ac221,2024-10-19,600,8.73,47.68,Sheryl Lee
e05d9f3d-ff9f-4def-9a02-ed772ec8db16,71aad63b-68f7-4d35-b4fe-4a6f7a18c5cd,2025-06-05,1115,4.57,89.11,Gabriel Phillips
ff0edfe5-58e1-456a-9a94-676179a636dc,0b242c73-4ddc-4f5b-9b5c-11685e9953da,2025-03-12,57,2.45,67.49,Sarah Holmes
2cb65028-af59-49f5-a995-ae2761ae0354,fab0d80a-0e2c-4afe-9b74-56811db125d4,2025-08-30,771,7.4,65.72,Samantha Frank
53edf5cf-b410-4ef8-ae7d-c71e63429c30,bbc3e76d-e0b9-4513-a0fe-b56038685d32,2024-12-27,286,7.63,91.08,John Garcia
7985a07c-62f4-4d1e-8bc1-2c69541f6d60,654d6c45-1fbb-4812-bf42-bcb27378f142,2025-01-14,734,9.91,81.66,Andrea Brown
b1a648ce-d548-4db9-ae69-10c79fa90234,3b603281-9cb2-4347-bbe5-d3fba8184d49,2024-10-26,1161,2.23,53.25,Erin Strickland
75dbe463-117b-472a-9aed-911a14b4fb05,77d47e0c-4a36-4923-b1d7-f6bff322cdc3,2025-08-12,395,8.06,50.97,Pamela Young
71c2af62-ea15-42fb-9bf3-245c7bb3d413,3831c6e8-b236-4335-bc41-db6a76c1b335,2023-11-24,709,9.22,86.75,Craig George
f97722f0-d87a-4ebe-93fe-1c1857075f45,4458314d-cc3b-4777-be61-27c5945fe183,2024-07-05,1040,9.34,58.84,Russell Brown
6eb7cff8-6de9-4524-b483-796bc35e63e1,3a603da2-ae9b-4686-b36a-592ef9e211e0,2024-01-25,872,7.47,41.93,Mitchell Lowe
493cc06b-d4fc-47b8-9731-9bbbb4c55fcf,2d430bb2-96cc-457f-ba75-aa77674423e0,2024-11-23,1165,8.47,61.03,Tyler Harrison
85940b9d-3645-4c5b-9933-0d8bfb3082ff,bf74d40d-9c12-42e7-bd6b-c48825f32c8a,2025-09-11,820,9.54,59.79,April Huerta
3b592823-7e6f-4bda-a52a-20a0cbcbc3f0,7d7f2790-1b0d-459e-8df7-acf3f030b5ac,2025-06-08,129,5.83,43.94,Robin Sandoval
a56ceeea-b9b2-4d9a-99b9-ca8832fc2e27,52e52d55-08ff-40ec-b20d-c52969db6165,2024-10-13,278,2.29,63.68,Marcus Robbins
2e1cc2d5-2674-4e94-934c-64cbc4acb7d8,276e4da2-2b07-42bf-9a48-0970c841fcf0,2025-07-28,1168,0.9,67.51,Nicholas Schmidt
3614a375-fd7d-4202-a6ca-bb624ecc0d23,7b1812ac-42a5-4d77-90ca-f7ccefc962c1,2024-09-06,55,3.28,74.53,Angela Burns
0245a00e-ad6f-4ea3-95b3-139fa9608d59,d06ff5ea-d426-4007-be5a-352cd8a18402,2025-07-10,1042,9.56,44.1,Annette Dunn
1438e628-d249-4407-bdb8-6330d268432f,b06ed033-ce05-4daa-8666-e5e9cf1040c1,2024-11-09,381,6.46,67.38,Karina Crawford
7cb920ca-8204-4dca-9992-b9f7e963f53e,8654a717-9763-49bd-b3e7-75eaa48e3439,2024-12-11,39,6.1,42.11,George Henderson II
31fade2a-6d9f-47c3-90f7-4040b78d6339,03100292-3832-4cb9-8010-3b80e13b9bc3,2025-09-08,914,5.74,91.62,Zachary Scott
db165ac4-b986-4a70-bf0f-0815ec46e4ba,75cd1ac8-1527-4f6e-9946-6665d7331182,2024-04-14,337,6.15,68.32,Sean Rollins
ec58e5c9-b3b7-492a-8c5b-189789447dbe,1f57bd5c-a90f-4144-b4b4-2389edc630fa,2024-01-12,729,6.1,68.21,Ronald Singh
201efc90-2398-4303-8c20-94e15609de54,ae1abe1f-0ba1-488f-975a-e39d31b85e05,2025-05-09,415,4.58,95.46,Rebecca Banks
3b08f89f-955d-4a14-9288-f0e78e7d9656,c4ac194e-8f14-4ca7-a6fb-730d4d3807e9,2024-04-29,263,9.46,72.84,Gabriel Cook
4bc994a0-8c85-45f6-beb7-f5c67d973de0,c8d6d7d2-f97d-4ed0-abe3-451dd059ce7c,2025-01-26,1099,2.61,98.57,Crystal Cowan
e5902e68-4634-43b5-9c39-92635a6cbc00,2d430bb2-96cc-457f-ba75-aa77674423e0,2024-01-11,872,5.08,46.85,Richard Rodriguez
7ef257f4-e3d5-4b36-8ece-153ffe231a1b,adfc7cf0-ca68-4cec-a5d5-bd725a03b590,2024-04-22,52,7.04,60.96,Anthony Klein
5927c6e3-fe08-4bc8-861b-8c7cd1886888,2310d06f-be1d-4058-8a9a-0af64b582d3d,2025-01-28,337,4.82,90.36,Leslie Cox
c1e5f89f-fb30-48e0-abd5-83c9279ff9ae,acbeeca8-34bd-4a2b-b2ea-ee4ebfcf29b3,2023-12-19,696,8.34,90.74,Dawn Suarez
3c61bc27-9d33-4318-9b63-81b4b86fdb15,fbaa9d03-af97-4ed3-89c4-4617a4c36dfd,2025-08-01,33,4.83,70.94,Daniel Harris
4c338d1a-5cd3-473e-b323-4d0f94a00978,1f57bd5c-a90f-4144-b4b4-2389edc630fa,2024-09-01,1162,9.83,96.22,Leroy Knox
acfbf04d-28a5-450c-84ca-f999c9695058,ef262be4-3e04-4eec-ad96-11edef1a0be1,2024-09-27,624,5.96,94.47,Richard Huffman
055677d6-98e7-42aa-b334-ecda15b8bbdf,4221d0cb-6243-4ed6-9d3e-d8964fccadb6,2025-04-28,1067,7.27,74.63,Matthew Mccullough
9c14525c-bb46-430b-9ddf-0296e2a72b19,3b603281-9cb2-4347-bbe5-d3fba8184d49,2024-05-17,688,5.12,59.15,Susan Campbell
777526ab-e496-4798-9327-15292f2125e0,70b322a5-aed3-4dd5-ba71-18faebb979de,2024-07-07,821,5.38,78.29,Billy Johnson
25f77878-9532-4aa7-ae14-2cf47edb69ea,ea7c4adb-64a2-41d9-a4ec-5b4a91bb460c,2023-12-28,276,4.21,40.57,Troy Taylor
2ec19c64-9496-45b8-8ad9-56808ed856f4,976d6360-53ba-429e-b3cb-30541ed91790,2025-09-16,563,1.19,60.24,Linda Smith
c0159355-c99f-4cae-a7b6-0a0674780a8e,7dcfab00-a412-4956-bf67-e50ad68b56f0,2025-07-09,484,2.81,76.66,Travis Rivera
16f037c7-7f4a-4e6c-a43b-318307217139,99bee1c4-2678-4b78-9975-eab7aaa0dfb9,2024-03-16,1136,1.68,95.03,Lauren Evans
c65d2a81-98f8-4897-9858-01a82479db01,ef262be4-3e04-4eec-ad96-11edef1a0be1,2024-04-05,276,9.51,47.69,Michele Reyes
24669159-9f7f-4561-95b1-91610a38d7d2,151499bf-fb4e-4182-bfa4-672ecb1588ac,2024-09-16,618,5.29,85.0,Pamela Huff
059f19ca-b8ce-4fd2-96fe-0bd3eb6a12d4,aa342bfe-f3a0-4628-8cb8-d439bb87cf72,2025-02-20,433,6.63,40.4,Victor Bauer
372b527b-b641-466e-abd8-c32fdc032a65,0955da28-201b-41b4-91cd-a6a833fdefaf,2024-03-06,372,1.43,84.78,Miss Kimberly Wise
4fc2f10c-3406-428f-b732-96efb4bdaca5,caf300cf-2c4b-43df-a40b-4686218e7f6a,2024-07-17,409,7.05,79.21,Adam Hamilton DVM
0a14ad57-ff21-4626-81bb-5b4ab8b2d944,b9b12ffd-1926-4c4f-9304-e897b3cf4ed9,2024-04-10,577,4.48,53.9,Stephanie Wood
7f200c33-766b-4050-a8d9-dbe967de1f08,70b322a5-aed3-4dd5-ba71-18faebb979de,2025-01-28,854,1.39,82.59,Scott Brown
2c4489ba-0bf1-426e-8f65-ade5c9bf3d46,61fc999b-8ff7-414b-a71b-b82ca9b379e7,2023-11-16,57,2.93,47.59,Brooke Good
